CS110,CS111,CS301,CS302,CS311,CS361,class
72,84,83,89,73,71,C
88,83,73,76,93,78,B
82,95,75,78,98,71,B
70,71,93,71,90,93,B
99,99,76,80,73,87,B
74,96,71,100,94,80,B
85,75,91,100,93,84,B
76,79,92,82,92,75,B
85,97,76,80,80,93,B
89,98,86,85,85,95,B
94,81,77,73,97,99,B
87,90,72,71,73,87,B
99,100,80,95,80,100,A
99,75,87,95,73,88,B
92,85,85,76,93,75,B
95,92,71,70,98,71,B
82,98,82,78,92,100,B
77,88,71,74,73,90,C
71,73,86,98,83,94,B
71,89,70,79,91,74,C
82,87,70,71,86,76,C
96,76,87,73,99,90,B
71,95,81,86,73,71,C
71,76,94,70,84,98,B
97,76,77,93,95,90,B
91,90,85,75,89,94,B
92,70,91,81,95,83,B
98,92,85,70,78,84,B
93,98,85,73,92,91,B
74,74,90,77,72,75,C
72,91,81,75,97,72,B
88,95,78,72,83,78,B
77,92,82,82,94,77,B
96,91,78,82,84,91,B
85,90,88,86,85,85,B
95,78,100,73,100,74,B
78,75,96,97,86,82,B
82,77,85,86,92,89,B
95,70,98,99,91,92,A
79,74,85,92,81,79,B
98,81,100,73,91,79,B
74,72,80,97,85,71,C
89,94,80,90,80,73,B
83,72,76,78,88,79,C
83,90,70,88,97,73,B
70,92,96,91,93,95,B
83,70,80,77,93,92,B
91,90,100,73,90,70,B
90,78,94,85,81,93,B
73,93,73,98,81,93,B
